EIC,Company,Display Name,Source URL,Registry Download URL
29X10001000100HD,Axpo Solutions AG Greek Branch,AXPOGREEKBRANCH,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
29X1000100010123,REYTECH TRADING ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,REYTECHTRADING,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
29XHERONTHERMELC,HERON SOCIETE ANONYME ENERGY SERVICES,HERON_ENERGY_SA,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
29XSOUSAKIPOWERE,MOTOR OIL RENEWABLE ENERGY SINGLE MEMBER S.A.,MORE,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
29XTHESSALPOWERA,ENERWAVE SOCIETE ANONYME,ENERWAVE,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
30XROCASORI----1,CASORI SRL,RO_CASORI,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
31X-0153-T-000-R,D. TRADING d.o.o.,HR-D-TRADING,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
32X-EVN-TSEE---K,EVN Trading South East Europe EAD,EVN_TSEE_EAD,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
32X001100101073T,ENERGOVIA EOOD,ENERGOVIA_EOOD,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
32X0011001016581,NOMAD ENERGY COMPANY LTD,NOMAD_ENERGY,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
32X001100101677Y,KER TOKI POWER AD,KER_TOKI_POWER,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
32XEGL-BULGARIAC,Axpo Bulgaria EAD,AXPO_BG,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
33X-INTERENERGOU,Kelag International dooel Skopje,KELAG-INT-SK,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
33X-TETRA-SKOP-M,Terna Energy Trading DOOEL,TETRA_DOOEL,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
33XGREENCORE-78T,GREENCORE TRADE LLC import-export Gevgelija,GCTDOO,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
33XPROTERGIASKPZ,PROTERGIA ENERGY DOOEL,PROTERGIA_SKOPJE,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
33XSENTRADE----W,SENTRADE DOOEL Skopje,SENTRADE_SKOPJE,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
33XSOLARISTRADEG,DUFERCO MK DOO Skopje,DUFERCO,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
33XSOLARPRODLSK3,RENEWABLE ENERGY SUPPLY RES DOO Skopje,RES_MK,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
34X-0000000074-Y,Watt and Volt doo Beograd,WAVO,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
34X-0000000085-R,EETS TRGOVINA ELEKTRICNOM ENERGIJOM DOO BEOGRAD,EETS,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
34X-0000000097-H,HIFAOIL ENERGY TEAM DOO,HIFA,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
34XEGL-DOO-----6,AXPO doo Beograd,AXBE,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
34XEPS--TRADE--N,"Akcionarsko društvo Elektroprivreda Srbije, Beograd",EPSX,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
34XGENI-BEOGRADH,GEN-I d.o.o. Beograd,RS-GENI,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
